frame num,person id,bb_xmin,bb_ymin,bb_height,bb_width,age_min,age_max,age_actual,gender
176,168,407,118,54,61,35,39,38,M
176,169,266,54,59,75,31,34,34,M
177,159,465,45,63,70,26,28,28,M
177,168,423,109,50,57,34,36,36,M
177,169,302,56,53,69,28,30,30,M
178,159,459,39,63,71,27,28,28,M
178,168,427,108,52,59,56,69,62,M
178,169,343,56,51,66,34,37,36,M
178,170,585,1,42,57,33,34,35,M
179,159,456,36,63,73,28,30,30,M
179,168,429,108,52,59,50,56,54,M
179,169,355,56,51,65,31,34,34,M
179,170,586,1,42,57,34,35,35,M
180,159,441,40,59,67,27,29,29,M
180,168,425,104,54,62,38,41,40,M
180,169,374,53,52,66,47,53,50,M
180,170,586,1,45,61,41,46,45,M
181,168,420,98,61,71,38,41,40,M
181,169,401,41,56,72,29,31,32,M
182,168,424,96,59,68,58,71,65,M
182,169,404,30,55,70,25,25,26,M
182,172,363,48,53,65,34,36,36,M
182,170,600,1,35,47,38,41,40,M
183,169,401,28,52,67,25,26,26,M
183,172,362,40,51,63,39,44,43,M
183,175,500,120,67,68,26,27,28,M
183,170,599,2,37,50,41,45,44,M
184,169,394,24,53,67,27,29,29,M
184,172,360,32,53,66,69,79,78,M
184,175,476,124,72,72,31,33,33,M
184,170,597,3,39,52,33,34,35,M
184,168,422,86,55,64,39,44,42,M
185,169,391,23,53,66,35,38,37,M
185,172,359,30,54,66,43,48,46,M
185,175,468,125,72,74,31,33,32,M
185,170,597,3,38,53,32,34,35,M
185,176,566,106,50,64,33,34,35,F
185,177,924,467,35,118,25,26,26,M
185,168,420,85,54,63,35,38,37,M
186,169,385,19,50,63,32,34,35,M
186,172,359,31,53,65,37,41,40,M
186,175,446,132,79,81,27,29,29,M
186,170,593,2,36,51,34,37,36,M
186,176,542,112,50,64,29,32,32,F
186,177,907,467,38,129,25,27,27,M
186,168,417,85,52,61,31,34,34,M
187,172,353,22,56,69,41,46,45,M
187,175,432,132,78,82,30,32,32,M
187,170,589,3,34,47,35,38,38,M
187,176,511,123,54,70,26,28,28,F
187,177,892,496,44,145,28,30,30,M
187,168,410,80,52,61,35,39,38,M
188,172,350,15,50,62,28,30,30,M
188,175,430,142,65,68,29,31,31,F
188,170,585,2,36,50,29,31,32,M
